"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
1109.13999398728,-179.885299682617
1172.75685956679,-179.91081237793
1240.02259328568,-179.935989379883
1311.1464830203,-179.961135864258
1386.34982075722,-179.986083984375
1465.86659111209,179.988952636719
1549.94419933992,179.96403503418
1638.84424110172,179.938690185547
1732.84331638267,179.913360595703
1832.23389009409,179.887359619141
1937.32520203688,179.861083984375
2048.44422905773,179.834320068359
2165.93670239161,179.80680847168
2290.16818335592,179.778594970703
2421.52520074312,179.74951171875
2560.4164534508,179.719467163086
2707.27408209079,179.688339233398
2862.55501353401,179.655899047852
3026.74238257413,179.622161865234
3200.34703513365,179.586883544922
3383.90911768914,179.549957275391
3577.9997578611,179.511138916016
3783.22284139728,179.470306396484
4000.21689107833,179.427261352539
4229.65705339164,179.381744384766
4472.25719915479,179.333465576172
4728.77214462424,179.282257080078
5000.00000000004,179.227783203125

